number,feature,corr,p_value,abs_corr,p_adj
27,temp_diff,-0.06812476487279603,0.08984592983357495,0.06812476487279603,0.8730505444385507
24,pressure,-0.05806707844659828,0.14836565126198645,0.05806707844659828,0.8730505444385507
3,humidity,0.05438321076385491,0.17589788297012027,0.05438321076385491,0.8730505444385507
24,temp_diff,-0.0653511556103003,0.1037369188741931,0.0653511556103003,0.8730505444385507
26,moon_age,0.05548607791992574,0.1672838369535528,0.05548607791992574,0.8730505444385507
4,humidity_diff,-0.0969244345470425,0.015684774190212553,0.0969244345470425,0.8730505444385507
4,pressure_diff,0.05553004538806043,0.16694709838546118,0.05553004538806043,0.8730505444385507
5,moon_age,-0.0837540578117623,0.0369240761801483,0.0837540578117623,0.8730505444385507
5,moon_sin,0.0561996822082221,0.16188110415819998,0.0561996822082221,0.8730505444385507
2,humidity,-0.0829962102566792,0.03867235924601571,0.0829962102566792,0.8730505444385507
5,moon_cos,0.07334796576303851,0.06775989947466514,0.07334796576303851,0.8730505444385507
36,pressure,-0.0542621265581254,0.17686336671484298,0.0542621265581254,0.8730505444385507
2,temp,0.05044054508435109,0.20939218098397833,0.05044054508435109,0.8730505444385507
25,temp,0.0584839047036366,0.14546968924444487,0.0584839047036366,0.8730505444385507
4,moon_sin,-0.06028972928633396,0.13342005124192488,0.06028972928633396,0.8730505444385507
23,temp,0.06116437459196282,0.12786801749679497,0.06116437459196282,0.8730505444385507
4,temp_diff,0.08066174212536961,0.04450475481534373,0.08066174212536961,0.8730505444385507
6,humidity,0.05408228356535972,0.1783046347737108,0.05408228356535972,0.8730505444385507
6,humidity_diff,0.0769365895247226,0.0553360680946605,0.0769365895247226,0.8730505444385507
34,moon_cos,0.049827877170408916,0.2149854193512347,0.049827877170408916,0.8730505444385507
1,pressure,0.07151669448111794,0.07493254156450925,0.07151669448111794,0.8730505444385507
1,moon_sin,-0.052766771680313594,0.18911325124683714,0.052766771680313594,0.8730505444385507
1,pressure_diff,0.06987190886110159,0.08189103014862797,0.06987190886110159,0.8730505444385507
17,moon_sin,-0.049394247904284365,0.21900855126271654,0.049394247904284365,0.8786728622949953
23,pressure_diff,0.0483291876406416,0.22911817930271836,0.0483291876406416,0.8833979662869266
29,moon_cos,-0.04815550971841398,0.23079766686775557,0.04815550971841398,0.8833979662869266
32,temp_diff,0.04882585251262924,0.2243633086876428,0.04882585251262924,0.8833979662869266
6,moon_age,0.04835416036515317,0.2288774052653535,0.04835416036515317,0.8833979662869266
14,temp_diff,-0.04776603427588972,0.23459562836273243,0.04776603427588972,0.884972035456665
15,moon_sin,-0.04703538487593323,0.2418392048845541,0.04703538487593323,0.884972035456665
25,humidity,0.04729546722956193,0.23924299020979062,0.04729546722956193,0.884972035456665
28,temp,-0.04723766825822759,0.2398182540205281,0.04723766825822759,0.884972035456665
28,pressure_diff,0.040097942720722306,0.31846190180631956,0.040097942720722306,0.8861234226019622
3,moon_cos,0.044629599017207006,0.26679374771708253,0.044629599017207006,0.8861234226019622
15,temp_diff,0.04268024714450451,0.288268670698171,0.04268024714450451,0.8861234226019622
19,humidity_diff,0.039854722108128446,0.3214085272049582,0.039854722108128446,0.8861234226019622
26,humidity,0.0446947635773305,0.26609534879000984,0.0446947635773305,0.8861234226019622
14,moon_sin,0.04590635602818818,0.25333851525693657,0.04590635602818818,0.8861234226019622
2,moon_cos,-0.044655818698137104,0.2665125881000653,0.044655818698137104,0.8861234226019622
22,moon_sin,0.044576867670677124,0.2673598140999576,0.044576867670677124,0.8861234226019622
